id,title,context,question,answers
12,Metapod,"Metapod its a Bug first generation Pokemon that The outer shell of Metapod is extremely hard, but the insides are soft due to the changes that it is undergoing. It may not move for more than two weeks. Ume Aoki, a Japanese cartoonist who is famous for her work on the manga Hidamari Sketch and the anime Puella Magi Madoka Magica, utilizes a likeness of herself cosplaying as a Metapod in her drawn works.",Whats the type of Metapod?,"{'answer_start': [14], 'text': ['Bug']}"
13,Butterfree,"Butterfree its a Bug first generation Pokemon that It rubs honey onto the hairs on its legs to carry it back to its nest. In battle, it flaps its wings at great speed to release spores and powders onto opponents. Its Gigantamax form is a tremendous size with huge, turquoise wings and resembles Mothra of the Godzilla franchise. It sheds toxic flakes of crystallized Gigantamax energy.",Whats the type of Butterfree?,"{'answer_start': [17], 'text': ['Bug']}"
14,Weedle,"Weedle its a Bug first generation Pokemon that Its stinger is poisonous. While it does not like to fight, Weedle can protect itself, if only for a short while.",Whats the type of Weedle?,"{'answer_start': [13], 'text': ['Bug']}"
15,Kakuna,"Kakuna its a Bug first generation Pokemon that Similar to Metapod, its shell is extremely hard, but the insides are soft due to its metamorphosis. Kakuna also doesn't move as much. Kakuna typically attach to trees in clusters and feel hot to the touch.",Whats the type of Kakuna?,"{'answer_start': [13], 'text': ['Bug']}"
16,Beedrill,Beedrill its a Bug first generation Pokemon that Beedrill are highly aggressive and will violently swarm and sting anyone who approaches their hive. Beedrill appear as large hornets with spikes on their forearms.,Whats the type of Beedrill?,"{'answer_start': [15], 'text': ['Bug']}"
17,Pidgey,Pidgey its a Normal first generation Pokemon that Pidgey is the common bird of Kanto. It hunts bug Pokémon until they scurry away. It is considered as an alternative version of Spearow and a rival to it.,Whats the type of Pidgey?,"{'answer_start': [13], 'text': ['Normal']}"
18,Pidgeotto,Pidgeotto its a Normal first generation Pokemon that Pidgeotto was the second Pokémon that Ash Ketchum caught on his journey in the anime. It constantly flies around its large territory in search of prey and often squabbles with other Pidgeotto over territory.,Whats the type of Pidgeotto?,"{'answer_start': [16], 'text': ['Normal']}"
19,Pidgeot,"Pidgeot its a Normal first generation Pokemon that Most trainers choose Pidgeot as their Pokémon due to their striking, beautiful feathers. Pidgeots tend to be very large in size. Its highly decorated plumage is used to intimidate enemies. It races through the skies at Mach-2 speed.",Whats the type of Pidgeot?,"{'answer_start': [14], 'text': ['Normal']}"
20,Rattata,"Rattata its a Normal first generation Pokemon that Its teeth grow long overtime, so it has to gnaw on logs, houses, telephone poles, and more, so it is often seen as a pest. Rattata has an Alolan form that is a Dark/Normal type.",Whats the type of Rattata?,"{'answer_start': [14], 'text': ['Normal']}"
21,Raticate,"Raticate its a Normal first generation Pokemon that Raticate commands groups of Rattatas to gather food. Like Rattata, it has to whittle its teeth down, but as its teeth are much stronger, it requires harder objects such as steel and rocks. Like Rattata, Raticate has an Alolan form that is a Dark/Normal type.",Whats the type of Raticate?,"{'answer_start': [15], 'text': ['Normal']}"
22,Spearow,"Spearow its a Normal first generation Pokemon that It eats bugs in grasslands and has to flap its short wings at high-speed to stay airborne. Spearows have short temperaments, and tend to swarm perceived enemies in large flocks. Ash Ketchum attempted to catch a Spearow without the help of his Pikachu, leading to a rather disastrous start of his journey.",Whats the type of Spearow?,"{'answer_start': [14], 'text': ['Normal']}"
23,Fearow,"Fearow its a Normal first generation Pokemon that Fearow is a lanky and awkward bird. Its English name is a portmanteau of ""fear"" and ""sparrow"". Fearow are large birds that can fly at extremely high altitudes for long periods of time.",Whats the type of Fearow?,"{'answer_start': [13], 'text': ['Normal']}"
24,Ekans,"Ekans its a Poison first generation Pokemon that Its English name is ""snake"" spelled backwards. Ekans tends to coil itself, for protection while it sleeps Ekans was Team Rocket member Jessie's starter Pokémon.",Whats the type of Ekans?,"{'answer_start': [12], 'text': ['Poison']}"
25,Arbok,"Arbok its a Poison first generation Pokemon that Jessie, a member of Team Rocket, owned an Arbok for the Kanto, Johto, and a small portion of the Advanced Generation series of the Pokémon anime. The pattern on its chest is changes everywhere it lives. It is hard to escape from its coil as it is so strong, it can crush a steel drum by constricting it. Its English name is ""kobra"" (which is pronounced the same as ""cobra"") spelled backwards.",Whats the type of Arbok?,"{'answer_start': [12], 'text': ['Poison']}"
26,Pikachu,"Pikachu its a Electric first generation Pokemon that Pikachu is the primary mascot of the Pokémon franchise, as well as Pokémon Yellow and Let's Go, Pikachu!. It is also playable in every Super Smash Bros. game. Its Gigantamax form looks like its old sprite from Red and Blue with a glowing, whitish tail. Pikachu raises its tail to check its surroundings and it might get struck by lightning in this pose. When groups gather and do this, the lightning shock would be very dangerous to be around. That's why the forests they inhabitat away from cities are very dangerous to be in. Pikachu are now adept at storing electricity and will discharge it at foes and they recharge when sleeping. Pikachu with the stretchiest and softest cheeks are more powerful, but when their tail is yanked, they'll try and bite you. It'll intelligently roast berries to cook and eat them, and it'll occasionally shock a fellow Pikachu that's a weakened state. A plan was recently announced to gather up many Pikachu and make an electric power plant. When Pikachu meet, they'll touch their tails together and exchange electricity through them as a form of greeting. If it gives off crackling power from the electric sacs on its cheeks, it is being wary.",Whats the type of Pikachu?,"{'answer_start': [14], 'text': ['Electric']}"
27,Raichu,"Raichu its a Electric first generation Pokemon that Its long tail serves as a ground to protect itself from electrocuting itself. That's why you'll see black patches near its nest. If enough electricity is built inside it, its muscles are stimulated, its ears will perk up, it becomes feisty and glows in the dark. Some say building up electricity stressess it out. If its cheek pouches are empty, it'll raise its tail to gather electricity from the atmosphere. Its discharges reach 100,000 volts. Careless touching can cause an elephant to faint. Raichu has an Alolan form that is an Electric/Psychic type. Raichu and Alolan Raichu were created by Atsuko Nishida.",Whats the type of Raichu?,"{'answer_start': [13], 'text': ['Electric']}"
28,Sandshrew,"Sandshrew its a Ground first generation Pokemon that Based on the Chinese pangolin, Sandshrew is known to curl into a ball to defend itself. It burrows nests into the ground. Sandshrew has an Alolan form that is a Steel/Ice type.",Whats the type of Sandshrew?,"{'answer_start': [16], 'text': ['Ground']}"
29,Sandslash,"Sandslash its a Ground first generation Pokemon that Sandslash has the ability to curl into a spiny ball to attack or escape other Pokemon. Like Sandshrew, Sandslash has an Alolan form that is a Steel/Ice type. It climbs trees with its sharp claws. Sandslash shares the berries it gathers, dropping them down to Sandshrew.",Whats the type of Sandslash?,"{'answer_start': [16], 'text': ['Ground']}"
30,Nidoran♀,"Nidoran♀ its a Poison first generation Pokemon that It is related to the Nidoran♂ line and can produce eggs that contain either Nidoran♀ or Nidoran♂. It is less aggressive than its male counterpart, with a less threatening horn.",Whats the type of Nidoran♀?,"{'answer_start': [15], 'text': ['Poison']}"
31,Nidorina,"Nidorina its a Poison first generation Pokemon that If a group is threatened, these Pokémon will band together to assault enemies with ultrasonic waves. The horn on its head has atrophied.",Whats the type of Nidorina?,"{'answer_start': [15], 'text': ['Poison']}"
32,Nidoqueen,"Nidoqueen its a Poison first generation Pokemon that It pacifies offspring by placing them in the gaps between the spines on its back. The spines will never secrete poison while young are present. Its hide is so strong, not much can hurt it. It can only evolve using a Moon Stone.",Whats the type of Nidoqueen?,"{'answer_start': [16], 'text': ['Poison']}"
33,Nidoran♂,"Nidoran♂ its a Poison first generation Pokemon that It was the third Pokémon to be created, after Rhydon and Kangaskhan were created. This version of Nidoran (and its evolutions) are more aggressive and have larger spines than their female counterpart.",Whats the type of Nidoran♂?,"{'answer_start': [15], 'text': ['Poison']}"
34,Nidorino,"Nidorino its a Poison first generation Pokemon that The evolution of the Nidoran♂. It is most famous for being the first Pokemon seen when a Generation I game is played, appearing in the opening cut scene.",Whats the type of Nidorino?,"{'answer_start': [15], 'text': ['Poison']}"
35,Nidoking,"Nidoking its a Poison first generation Pokemon that Based on Baragon from the Godzilla franchise, it uses its powerful tail in battle to easily smash, constrict, then break the prey's bones and spine. Its recognized by its rock-hard hide that is worn like armor. The long horn on its head is sharp and highly venomous. Nidoking prides itself on its strength. It's forceful and spirited in battle, making use of its thick tail and diamond-crushing horn. One swing of its mighty tail can snap a telephone pole as if it were a matchstick. Nidoking's thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower and once it goes on a rampage, there is no stopping it. It swings its big tail around during battle, but if its foe flinches, it will charge with its sturdy body. But in the presence of a Nidoqueen it's lived with for a long time, Nidoking calms down.",Whats the type of Nidoking?,"{'answer_start': [15], 'text': ['Poison']}"
36,Clefairy,"Clefairy its a Fairy[nb 2] first generation Pokemon that Clefairy was originally proposed to be joint mascot of the Pokémon franchise alongside Pikachu, but was quickly overshadowed by the latter's popularity. Timid creatures, they rarely come, only appearing under a full moon. People love Clefairy for its cuteness but it's too rare to be found often.",Whats the type of Clefairy?,"{'answer_start': [15], 'text': ['Fairy[nb 2]']}"
37,Clefable,"Clefable its a Fairy[nb 2] first generation Pokemon that It is rarely seen by people. Clefable walks around on moonlit nights, skipping lightly as if in flight, allowing it to walk on water. It has an extremely sharp sense of hearing; its sensitive ears allow it to detect a pin drop from a mile away.",Whats the type of Clefable?,"{'answer_start': [15], 'text': ['Fairy[nb 2]']}"
38,Vulpix,"Vulpix its a Fire first generation Pokemon that When it's born, it has one white tail that sprouts into 6 beautiful curled ones at the tip as it gets older if it gets enough love from its Trainer. If it gets attacked by a stronger foe, it'll fake injuries to get away. Inside it is a flame that never goes out. When it's hot outside, it temperature rises, and it spews flames out of its mouth to cool down. It can freely control fire, spewing embers all over the place. Just before it evolves, its tails glow hot as if on fire. Its tails have made it really popular. Though if not brushed, it'll be a tangled mess before you know it. If you raise it young, it'll follow you like a puppy. It manipulates balls of fire to catch prey. Vulpix has an Alolan form that is an Ice type. Vulpix has also been selected as a ""mascot"" for Hokkaido, and is featured in the livery of an Air Do Boeing 767 aircraft.",Whats the type of Vulpix?,"{'answer_start': [13], 'text': ['Fire']}"
39,Ninetales,"Ninetales its a Fire first generation Pokemon that Its design is inspired by the nine-tailed fox of East Asian myth. Like Vulpix, Ninetales has an Alolan form, granting it the Ice/Fairy typing. Its very smart, very vengeful, and very vindictive. Grabbing one of its 9 golden like tails could result in a 1000-year curse as a joke if not careful. According to an enduring legend, 9 noble saints were united and reincarnated as Ninetales by a wizard. It is said to have a mysterious energy in its tails to allow it to live a thousand years, and each of its tails is loaded with supernatural powers. Ninetales casts a sinister light from its bright red eyes to gain total control over its foe's mind. It's highly intelligent - it can understand human speech. It can burn its prey to a crisp as it pleases. The flickering flames it spews from its mouth leave its opponents hypnotized, then it attacks.",Whats the type of Ninetales?,"{'answer_start': [16], 'text': ['Fire']}"
40,Jigglypuff,"Jigglypuff its a Normal first generation Pokemon that It is a playable character in every Super Smash Bros. game. Jigglypuff appears in the anime frequently as a running gag where it always tries to sing for an audience but puts everyone to sleep with Sing instead. When this happens, it uses the marker that is part of the microphone it carries around to draw silly faces on people.",Whats the type of Jigglypuff?,"{'answer_start': [17], 'text': ['Normal']}"
41,Wigglytuff,"Wigglytuff its a Normal first generation Pokemon that Wigglytuff's body is very flexible. By inhaling deeply, it can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly with the wind.",Whats the type of Wigglytuff?,"{'answer_start': [17], 'text': ['Normal']}"
42,Zubat,"Zubat its a Poison first generation Pokemon that Zubat is blind and uses echolocation to see. Zubats are part of a popular meme within the franchise main due to the fact Zubat is the most commonly encountered Pokémon, being present in almost every cave or underground area.",Whats the type of Zubat?,"{'answer_start': [12], 'text': ['Poison']}"
43,Golbat,"Golbat its a Poison first generation Pokemon that Golbat loves to drink blood, it can drink so much that it becomes unable fly. Unlike Zubat, Golbat have eyes, feet, and a large gaping mouth.",Whats the type of Golbat?,"{'answer_start': [13], 'text': ['Poison']}"
44,Oddish,"Oddish its a Grass first generation Pokemon that It buries itself in the soil to absorb the nutrients. The more water it drinks, the glossier it becomes. Oddish are nocturnal by nature and mainly wander at night to spread their seeds.",Whats the type of Oddish?,"{'answer_start': [13], 'text': ['Grass']}"
45,Gloom,"Gloom its a Grass first generation Pokemon that If it senses danger it produces a horrific stench from the leaves on its head. Glooms always have a line of drool oozing from their mouths. Using the Leaf Stone evolves Gloom into Vileplume, and using the Sun Stone evolves it into Bellossom.",Whats the type of Gloom?,"{'answer_start': [12], 'text': ['Grass']}"
46,Vileplume,"Vileplume its a Grass first generation Pokemon that Vileplume has the world's largest petals. They are used to attract prey that are then doused with toxic spores. These toxic spores will leave you sick for days. Vileplume is based on the rafflesia, the world's smelliest flower.",Whats the type of Vileplume?,"{'answer_start': [16], 'text': ['Grass']}"
47,Paras,"Paras its a Bug first generation Pokemon that Paras is a Bug-type Pokémon that is the host to a parasitic mushroom. As it ages, the mushroom begins to completely take over its body, evolving it into Parasect. Most of the nutrients Paras gets from feeding on plant roots are absorbed instead by the mushrooms. These mushrooms can be removed and used for medicines, however more always will grow on Paras' back later on.",Whats the type of Paras?,"{'answer_start': [12], 'text': ['Bug']}"
48,Parasect,"Parasect its a Bug first generation Pokemon that Parasects are the endpoint of a Paras' life stage, where the mushroom has fully engulfed its body, completely taking it over. It requires more energy from trees due to its larger size. It was originally called ""Fungus"" in early development.",Whats the type of Parasect?,"{'answer_start': [15], 'text': ['Bug']}"
49,Venonat,Venonat its a Bug first generation Pokemon that It is based on the gnat. Venonats are nocturnal predators which use their radar-like compound eyes to see in the dark.,Whats the type of Venonat?,"{'answer_start': [14], 'text': ['Bug']}"
50,Venomoth,Venomoth its a Bug first generation Pokemon that Venomoths are large violet/fuchsia-coloured moths. Its wings shed poisonous scales. These powdery scales are hard to remove from skin and contain poison that leaks out on contact.,Whats the type of Venomoth?,"{'answer_start': [15], 'text': ['Bug']}"
51,Diglett,Diglett its a Ground first generation Pokemon that Farmers like to use Digletts to plough the soil for crops to grow plentifully. Diglett has an Alolan form that is a Ground/Steel type. No one has ever seen the full body of a Diglett.,Whats the type of Diglett?,"{'answer_start': [14], 'text': ['Ground']}"
52,Dugtrio,"Dugtrio its a Ground first generation Pokemon that Dugtrio is a tripled Diglett. Like Diglett, Dugtrio has an Alolan form that is a Ground/Steel type. Like Diglett, no one has ever seen the full body of a Dugtrio. Occasionally, they will fight over which head gets to eat first.",Whats the type of Dugtrio?,"{'answer_start': [14], 'text': ['Ground']}"
53,Meowth,"Meowth its a Normal first generation Pokemon that One of the main members of Team Rocket in the Pokémon anime series. Team Rocket's Meowth can speak human language as well as converse with other Pokémon. Meowth love anything shiny and will steal whatever it can. Murkrow and Meowth will loot each other's hoards of treasure. Meowth's Alolan form is a Dark type and its Galarian form is a Steel type. Its Gigantamax form is a tall, thin, long cat that has glowing eyes and a mark on its coin.",Whats the type of Meowth?,"{'answer_start': [13], 'text': ['Normal']}"
54,Persian,"Persian its a Normal first generation Pokemon that Persian will sneak up behind a foe silently by retracting its claws. It will then pounce and rip them to shreds. Persian's Alolan form is a Dark type and its Galarian counterpart Perrserker is a Steel type. While Meowth has a gold coin on its forehead, Persian has a red jewel. A Persian is owned by Team Rocket's leader, Giovanni in the Pokémon anime series.",Whats the type of Persian?,"{'answer_start': [14], 'text': ['Normal']}"
55,Psyduck,"Psyduck its a Water first generation Pokemon that It has constant headaches. When Psyduck's headache gets severe, it unleashes its psychic powers. Psyduck was originally intended to have a currently unnamed middle evolution, but it was scrapped. Psyduck in the anime series first appears belonging to Misty, and was seen as unreliable and a nuisance until it begins using its Psychic abilities.",Whats the type of Psyduck?,"{'answer_start': [14], 'text': ['Water']}"
56,Golduck,"Golduck its a Water first generation Pokemon that It was almost hunted to extinction by hunters wanting the precious jewel on its forehead. Its capabilities are superior compared to Psyduck. It swims effortlessly, even in rough, stormy seas. It is known to rescue people from wrecked ships.",Whats the type of Golduck?,"{'answer_start': [14], 'text': ['Water']}"
57,Mankey,"Mankey its a Fighting first generation Pokemon that Mankey is a snub-nosed monkey-esque Pokémon that specialises in physical fighting and is very aggressive and short-tempered. Its extremely easy to anger, just one look can set it and the whole colony off. It'll fight anything and anyone at all. When Mankey starts shaking and its nasal breathing turns rough, it's a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath. It lives on treetops in colonies. It's usually unsafe to approach because most of the time it can't tell friend from foe. At that point everyone around it leaves, and the loneliness angers it more.",Whats the type of Mankey?,"{'answer_start': [13], 'text': ['Fighting']}"
58,Primeape,"Primeape its a Fighting first generation Pokemon that It's always angry and it won't abandon the chase until it's caught, even if its till the end of the world. It will never forgive or forget those who angered it. It stop getting angry when it's alone. It's very difficult to view. Even if asleep, anything that awakens it will get a half groggy chase. When angry, its blood starts pumping, making it stronger, yet dumber. It's been known to get so angry, that it dies, though it looks rather peaceful in death. Some researchers say it's still angry even when caught. Primeape is based on the baboon.",Whats the type of Primeape?,"{'answer_start': [15], 'text': ['Fighting']}"
59,Growlithe,"Growlithe its a Fire first generation Pokemon that Fiercely protective and loyal to its Trainer, it barks and bites at any intruders in its space, even though it usually has a friendly and brave nature. It will remain motionless unless given an order from its Trainer. Carelessly approaching it however can result in a bite. It tends to stand up to bigger foes, and if it detects a strange scent, it loudly roars to protect its Trainer from harm. It had a superb sense of smell, as once it smells anything, it won't forget it. It can even use its nose to sense emotions. While it's quite friendly toward humans once it's grown used to them, in the wild it must be quite fierce to defend its territory from Rockruff. It has lived alongside humans since ages ago. Its bones have been found in excavations of ruins from the Stone Age. Growlithe are popular throughout the Pokémon world as both guard dogs and police dogs. They are based on the Ryukyuan Shisa and Japanese Komainu lion-dog statues.",Whats the type of Growlithe?,"{'answer_start': [16], 'text': ['Fire']}"
60,Arcanine,"Arcanine its a Fire first generation Pokemon that Arcanine is a fan-favourite Pokémon and among the strongest non-legendary Pokémon and has been described as having ""the mane of a lion... the stripes of a tiger [and] the speed of a panther"". It has been admired since the past for its beauty and it runs agilely as if on wings. Though it is not a Legendary Pokemon here, it is in China. Its magnificent bark conveys a sense of majesty. Anyone hearing it can't help but grovel before it. An ancient picture scroll shows that people were attracted to its movement as it ran through prairies. Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon's body is its source of power. Legends tell of its fighting alongside a general and conquering a whole country. There are so many old tales about them that say that they're called Legendary Pokémon, but there are way more of them around than you'd expect.",Whats the type of Arcanine?,"{'answer_start': [15], 'text': ['Fire']}"
61,Poliwag,"Poliwag its a Water first generation Pokemon that Poliwag is Satoshi Tajiri (the creator of the Pokémon franchise)'s favourite Pokémon. Its appearance is similar to that of which it is named, a polliwog and a tadpole. It only has a tail and two legs for movement, and the swirl on its belly is its intestines visible through its thin skin.",Whats the type of Poliwag?,"{'answer_start': [14], 'text': ['Water']}"
62,Poliwhirl,"Poliwhirl its a Water first generation Pokemon that Poliwhirl is among the most-marketed Pokémon, being used in a line of chewable vitamins as well as a line of toothbrushes. Poliwhirl appears as a humanoid-shaped Pokémon that has a similar appearance to Poliwag, except of having arms and no tail. It evolves into Poliwrath after using a Water Stone. It also evolves into Politoed after being traded while it holds a King's Rock.",Whats the type of Poliwhirl?,"{'answer_start': [16], 'text': ['Water']}"
63,Poliwrath,Poliwrath its a Water first generation Pokemon that It is capable of swimming the length of the Pacific Ocean tirelessly. It evolves from Poliwhirl after using a Water Stone. The swirl on its belly is reversed from its pre-evolutions.,Whats the type of Poliwrath?,"{'answer_start': [16], 'text': ['Water']}"
64,Abra,"Abra its a Psychic first generation Pokemon that Abra sleeps all of the time. Even when it is sleeping, which it does most of its life, it can sense danger with its highly potent Psychic power. When it is in danger, it will teleport to safety. Abra's teleportation is usually faster than the player's Pokémon, requiring a higher Speed stat in order to disable it before it teleports.",Whats the type of Abra?,"{'answer_start': [11], 'text': ['Psychic']}"
65,Kadabra,"Kadabra its a Psychic first generation Pokemon that Kadabra has been the source of various controversies. The symbols on its body have been associated to those used by Nazi Germany's Waffen-SS. Furthermore, in November 2000, Israeli magician Uri Gellar sued Nintendo, claiming Kadabra embodies an unauthorized appropriation of his identity. However, in 2020, he released a claim that Nintendo could use Kadabra again.",Whats the type of Kadabra?,"{'answer_start': [14], 'text': ['Psychic']}"
66,Alakazam,"Alakazam its a Psychic first generation Pokemon that Due to its brain drastically growing, causing its head to be too heavy, it actually uses its psychic power to hold its head up. Its 5000 IQ makes it a very intelligent Pokémon. It can affect nearby technology using its brainwaves. Kadabra and Alakazam were the direct counters to the Gastly line of Ghost-type Pokémon since they were dual types with Poison-type, hence weak to psychic-type moves. Throughout the series, the Abra and Gastly lines were considered rivals.",Whats the type of Alakazam?,"{'answer_start': [15], 'text': ['Psychic']}"
67,Machop,Machop its a Fighting first generation Pokemon that The best thing about Machop is that its muscles never get sore. It can hurl around 100 adult humans before it gets tired.,Whats the type of Machop?,"{'answer_start': [13], 'text': ['Fighting']}"
68,Machoke,"Machoke its a Fighting first generation Pokemon that Machoke is typically used for heavy lifting jobs due to its super strength. Its appearance is similar to a WWE-style wrestler, with what appears to be exercise shorts.",Whats the type of Machoke?,"{'answer_start': [14], 'text': ['Fighting']}"
69,Machamp,"Machamp its a Fighting first generation Pokemon that Machamp has four arms. It can throw around 1000 punches in two seconds and move mountains with one arm. It evolves from Machoke after being traded. Its Gigantamax form has glowing, orange eyes and hands and a bigger body.",Whats the type of Machamp?,"{'answer_start': [14], 'text': ['Fighting']}"
70,Bellsprout,"Bellsprout its a Grass first generation Pokemon that It is a Grass-type Pokémon with a bell-shaped head, and a vine-like body ending in root-like feet, with leaves for arms. It can plant itself into the ground to negate Electric-type moves as seen in the anime.",Whats the type of Bellsprout?,"{'answer_start': [17], 'text': ['Grass']}"
71,Weepinbell,"Weepinbell its a Grass first generation Pokemon that It has a hook on its rear-end that it hooks on trees with and sleeps. When it wakes up, it might find itself on the ground because of the wind.",Whats the type of Weepinbell?,"{'answer_start': [17], 'text': ['Grass']}"
72,Victreebel,"Victreebel its a Grass first generation Pokemon that It was the last Generation I Pokémon to be created. All of Bellsprout's evolutions are based on various fly-catcher plants, with Victreebel the closest-looking one. Team Rocket's James has a Victreebel that has a habit of chewing on him.",Whats the type of Victreebel?,"{'answer_start': [17], 'text': ['Grass']}"
73,Tentacool,"Tentacool its a Water first generation Pokemon that If Tentacool isn't in the water, it will shrivel up because it is mostly water. Tentacool is a jellyfish-esque Pokémon, which later on in the franchise, is said to be fluid-filled. This fluid is toxic and damages opponents who use HP draining attacks instead of healing them.",Whats the type of Tentacool?,"{'answer_start': [16], 'text': ['Water']}"
74,Tentacruel,"Tentacruel its a Water first generation Pokemon that Tentacruel is a large, multi-tentacled jellyfish Pokémon that has two claws or beaks and two large, red jewels on its head.",Whats the type of Tentacruel?,"{'answer_start': [17], 'text': ['Water']}"
75,Geodude,"Geodude its a Rock first generation Pokemon that Sometimes mistaken as ordinary rocks, people mistakenly step on them resulting in them getting hurt. Geodude has an Alolan form that is a Rock/Electric type, and has metal spines. It appears as an armed rock.",Whats the type of Geodude?,"{'answer_start': [14], 'text': ['Rock']}"
